,GrossRevenue,Taxable,BNOTax,NAICS,IndustryName,TaxRate
172,1946588015,1824378556,30640471,['5411'],Legal Services,0.015740603951062547
173,1504641525,1346756001,23056074,['5412'],Accounting Services,0.015323300345575669
174,535704604,443160196,7511646,['54131'],Architectural Services,0.014021992612928897
175,1916947068,1639012754,21746842,['54133'],Engineering Services,0.011344518773118257
176,287392508,230496522,3327280,"['54132', '54134', '54138']",Other Related Services,0.011577476473395054
177,393538653,261202385,2638477,['5414'],Specialized Design Services,0.00670449263340849
178,11123860013,4409534608,49155425,['5415'],Computer System Design Services,0.004418917978341517
179,6514740836,4479893018,58619019,['5416'],Consulting Services,0.00899790497821117
180,2214535508,938728783,7064093,['5417'],Scientific Research Development Services,0.003189875698303773
181,564534611,425375502,6058553,['5418'],Advertising Public Relations,0.010731942527435222
182,1916528176,1614726076,22560502,['5419'],Other Professional Services,0.011771547260571034
183,338190083,240748945,4015547,['55'],Management Services,0.011873639121464127
184,14408545736,8073713816,91564564,['561'],Administrative Support Services,0.006354878950151392
185,1396041010,1144118310,18261323,['5613'],Employment Services,0.013080792662387476
186,5209775566,321776944,4287637,['5615'],Travel Services,0.0008229984086036155
187,581725753,528405857,6742197,['5616'],Investigation Security Services,0.011589992303469502
188,1350891364,1277728239,10932796,['5617'],Building Services Janitorial,0.00809302382956088
189,5870112043,4801684466,51340611,"['5611', '5612', '5614', '5619']",Other,0.008746104098851525
190,1398005965,1336083852,15515666,['562'],Waste Treatment collection,0.01109842617874667
191,821558826,500084468,7386761,['61'],Schools public Private Technical,0.00899115287454778
192,20288194998,13814593224,210889521,['62'],Health Services,0.010394691150237338
193,9532606126,7993727072,129486622,['621'],Ambulatory Health Care Services,0.013583548956966524
194,3348608677,2597841061,43659472,['6211'],Physicians,0.013038093193712404
195,1335153117,1322453060,22565065,['6212'],Dentists,0.01690073199297336
196,1294065241,1176932954,18152557,['6213'],Other Health Practitioners,0.0140275439173163
197,1242872766,873515439,13494778,['6214'],Outpatient Care Centers,0.010857730870900747
198,557282717,302863188,4966564,['6215'],Medical Diagnostic Laboratories,0.008912108429876177
199,1189243090,1163439874,17622065,['6216'],Home Health Care,0.014817883028439543
200,565380518,556681496,9026121,['6219'],Other Ambulatory Health Care,0.015964683452357655
201,8922720098,4507224007,66114831,['622'],Hospitals,0.007409717022819021
202,999928723,869102554,9003808,['623'],Nursing Retirement Homes,0.009004449810169119
203,832940051,444539591,6284260,['624'],Social Services Day Care,0.007544672623744443
204,1380936351,1236902200,12946691,['71'],Arts Entertainment Recreation,0.00937529886198209
205,495825342,417084348,6324533,['711'],Performing Arts Spectator Sports,0.012755566253408644
206,25436908,11980220,133890,['712'],Museums Historical Sites Etc,0.005263611442082505
207,859674101,807837632,6488268,['713'],Amusement Gambling Recreation,0.007547357763194962
208,987909668,932230201,5620430,['721'],Accommodations,0.005689214492027828
209,5375114472,5250514297,28110681,"['7223', '7225']",Restaurants Food Services,0.0052297827602433246
210,265060591,239290233,1422527,['7224'],Drinking Places,0.005366799321744514
211,1131935405,1091221465,5405795,['8111'],Auto Repair Services,0.004775709794146778
212,760601415,558296119,2996515,"['8112', '8114']",Other Repair Services,0.003939665297625038
213,1102766146,1020473520,12238465,['812'],Personal Services,0.011097969451086142
214,428808553,411440342,5934332,['8121'],Personal Care barber Beauty Etc,0.013839117616667502
215,88783183,85205789,1173132,['8122'],Death Care Services,0.013213448317121047
216,152560517,150104092,1073242,['8123'],Laundry Dry Cleaning,0.007034860795601525
217,432613893,373723297,4057759,['8129'],Other Personal Services,0.009379631735497685
218,362300689,237344123,3554486,"['813', '814']",Religious Civic Other Organizations,0.009810872868640887
219,161366851,151163706,2265649,['92'],Public Administration,0.014040361982399966
